sent_id	sentence	d-unit
592010	Although Depp has not remarried, he has stated that having children has given him "real foundation, a real strong place to stand in life, in work, in everything."	not
592010	Although Depp has not remarried, he has stated that having children has given him "real foundation, a real strong place to stand in life, in work, in everything."	real
245160-0001	very professional / very helpful	very
245160-0001	very professional / very helpful	very
489000	The following year, Bana co-starred with Daniel Craig and Geoffrey Rush in Steven Spielberg's controversial film Munich.	co
468005	The Lakers took a 3-2 lead in the series, but Abdul-Jabbar, who averaged 33 points a game in the series, sprained his ankle in Game 5 and could not play in Game 6.	could
468005	The Lakers took a 3-2 lead in the series, but Abdul-Jabbar, who averaged 33 points a game in the series, sprained his ankle in Game 5 and could not play in Game 6.	not
729002	She also provided the voice of Master Tigress in the DreamWorks animated movie Kung Fu Panda (2008). With revenue of $632 million internationally, it became the third-highest grossing film of 2008.	also
729002	She also provided the voice of Master Tigress in the DreamWorks animated movie Kung Fu Panda (2008). With revenue of $632 million internationally, it became the third-highest grossing film of 2008.	highest third - 
710004	He was back on the road by midsummer, and performed before Pope John Paul II at the World Eucharistic Conference in Bologna, Italy.	back
224906-0006	The only thing I found edible were the potato wedges, I finally gave up, he kept trying - he found the fried wantons to be OK - His Mongolian bowl was awful.	found
224906-0006	The only thing I found edible were the potato wedges, I finally gave up, he kept trying - he found the fried wantons to be OK - His Mongolian bowl was awful.	found
224906-0006	The only thing I found edible were the potato wedges, I finally gave up, he kept trying - he found the fried wantons to be OK - His Mongolian bowl was awful.	kept
122882-0007	I wouldn't go there again.	again
122882-0007	I wouldn't go there again.	n't
122882-0007	I wouldn't go there again.	would
600004	The two quickly became friends; McCartney later admitted: "I tended to talk down to him, because he was a year younger."	tended
600004	The two quickly became friends; McCartney later admitted: "I tended to talk down to him, because he was a year younger."	became
600004	The two quickly became friends; McCartney later admitted: "I tended to talk down to him, because he was a year younger."	quickly
201972-0005	They spent a lot of time with me and got me into a great pair of shoes.	lot a of 
201972-0005	They spent a lot of time with me and got me into a great pair of shoes.	got
611001	In 2009, he played three sold-out concerts at the newly built Citi Field-a venue constructed to replace Shea Stadium in Queens, New York.	newly
026883-0002	Run don't walk.	n't
694011	It Ain't Me Babe", on the surface a song about spurned love, has been described as a rejection of the role his reputation had thrust at him.	spurned
541009	By 1932, despite his longstanding association with the Republican Party, he openly supported Democratic presidential candidate Franklin D. Roosevelt, staging a "Motion Picture and Electrical Parade Sports Pageant" at L.A. Stadium in Roosevelt's honor.	longstanding
541009	By 1932, despite his longstanding association with the Republican Party, he openly supported Democratic presidential candidate Franklin D. Roosevelt, staging a "Motion Picture and Electrical Parade Sports Pageant" at L.A. Stadium in Roosevelt's honor.	openly
345182-0003	I asked if they could copy the piece I dropped off.	could
170650-0006	At the front door of his office, I nearly turned around.	nearly
342807-0005	All you have to do to make it authentic Jamaican food, is add a whole lot of pepper.	haveto
024385-0003	A bit pricey, so I didn't go very often, but it was always a treat when I did.	n't
024385-0003	A bit pricey, so I didn't go very often, but it was always a treat when I did.	Abit
121342-0008	Everything was bland, completely void of any spice or flavor.	completely
196219-0006	OVERALL DECENT BUT IF YOU ARE EXPECTING A RUTH CHRIS TYPE STEAK, THIS IS NOT IT.	OVERALL
196219-0006	OVERALL DECENT BUT IF YOU ARE EXPECTING A RUTH CHRIS TYPE STEAK, THIS IS NOT IT.	NOT
474002	He insisted that his health was not an issue, while downplaying questions about returning as a player, saying, "I'm retired. Let's leave it at that."	returning
474002	He insisted that his health was not an issue, while downplaying questions about returning as a player, saying, "I'm retired. Let's leave it at that."	not
018465-0019	I'm pretty sure for the cast that it was the other way around.	pretty
149741-0002	If you watch a lot of fights (youtube) and research some of the history (http://en.wikipedia.org/wiki/Bullfighting) you will find yourself enjoying it a lot more!	alot
149741-0002	If you watch a lot of fights (youtube) and research some of the history (http://en.wikipedia.org/wiki/Bullfighting) you will find yourself enjoying it a lot more!	! a more 
149741-0002	If you watch a lot of fights (youtube) and research some of the history (http://en.wikipedia.org/wiki/Bullfighting) you will find yourself enjoying it a lot more!	findyourself
165143-0002	First, let me state that although I live in NYC, I am not from NYC, I don't care about baseball and I absolutely love Boston to death (so beautiful, so clean, so awesome).	so
165143-0002	First, let me state that although I live in NYC, I am not from NYC, I don't care about baseball and I absolutely love Boston to death (so beautiful, so clean, so awesome).	so
165143-0002	First, let me state that although I live in NYC, I am not from NYC, I don't care about baseball and I absolutely love Boston to death (so beautiful, so clean, so awesome).	so
165143-0002	First, let me state that although I live in NYC, I am not from NYC, I don't care about baseball and I absolutely love Boston to death (so beautiful, so clean, so awesome).	not
165143-0002	First, let me state that although I live in NYC, I am not from NYC, I don't care about baseball and I absolutely love Boston to death (so beautiful, so clean, so awesome).	todeath
165143-0002	First, let me state that although I live in NYC, I am not from NYC, I don't care about baseball and I absolutely love Boston to death (so beautiful, so clean, so awesome).	absolutely
165143-0002	First, let me state that although I live in NYC, I am not from NYC, I don't care about baseball and I absolutely love Boston to death (so beautiful, so clean, so awesome).	let
165143-0002	First, let me state that although I live in NYC, I am not from NYC, I don't care about baseball and I absolutely love Boston to death (so beautiful, so clean, so awesome).	n't
527007	She again failed to report to the set on multiple occasions, and the studio suspended her contract on June 17, 1950.	failed
527007	She again failed to report to the set on multiple occasions, and the studio suspended her contract on June 17, 1950.	again
527007	She again failed to report to the set on multiple occasions, and the studio suspended her contract on June 17, 1950.	occasions on multiple 
197010	The Farnsworth Invention eventually opened at the Music Box Theatre on December 3, 2007 following the end of the strike; it closed on March 2, 2008.	eventually
197010	The Farnsworth Invention eventually opened at the Music Box Theatre on December 3, 2007 following the end of the strike; it closed on March 2, 2008.	end the 
156460-0003	I cannot tell you how often I am complimented on my hair (style AND color)!	can
156460-0003	I cannot tell you how often I am complimented on my hair (style AND color)!	not
317594-0001	Great Dude Cut!	Great
487010	Bana's performance won the Australian Film Institute Award for Best Actor.	Best
363685-0031	Don't get the rooms off the two kitchens.	n't
206007	His first critical success was in Eh? by Henry Livings, which had its US premiere at the Circle in the Square Downtown on October 16, 1966.	first
206007	His first critical success was in Eh? by Henry Livings, which had its US premiere at the Circle in the Square Downtown on October 16, 1966.	critical
004540-0004	They have been 100% reliable and professional.	100 % 
004540-0004	They have been 100% reliable and professional.	100 % 
191666-0002	I wish there was something good to say about the business, but unfortunately, there isn't.	n't
191666-0002	I wish there was something good to say about the business, but unfortunately, there isn't.	good
194316-0004	My waiter was so excellent I gave him a 75% tip, and it was worht every penny..	so
505002	The album's hard rock edge included conspicuous guitar contributions from Robert Fripp, Pete Townshend, Chuck Hammer and Tom Verlaine.	included
505002	The album's hard rock edge included conspicuous guitar contributions from Robert Fripp, Pete Townshend, Chuck Hammer and Tom Verlaine.	conspicuous
121556-0006	She did a great job!	great
120335-0006	So don't get taken in, keep your eyes open if you choose to shop here.	keep
120335-0006	So don't get taken in, keep your eyes open if you choose to shop here.	n't
319816-0002	After happily visiting Sear's Automotives in the past, I was shocked at the horrible service received at their Greensboro location.	happily
319816-0002	After happily visiting Sear's Automotives in the past, I was shocked at the horrible service received at their Greensboro location.	horrible
319816-0002	After happily visiting Sear's Automotives in the past, I was shocked at the horrible service received at their Greensboro location.	received
361348-0002	This has to be some of the worst pizza I have ever had the misfortune of ordering.	hasto
192713-0001	The finest Christmas Trees i've ever seen.	ever
192001	He would work late, with the TV tuned into ESPN, watching continuous replays of SportsCenter.	continuous
616014	McCartney said, "I've been offered an exhibition of my paintings at the Walker Art Gallery ... where John and I used to spend many a pleasant afternoon. So I'm really excited about it. I didn't tell anybody I painted for 15 years but now I'm out of the closet". McCartney is lead patron of the Liverpool Institute for Performing Arts, a school in the building formerly occupied by the Liverpool Institute for Boys.	usedto
616014	McCartney said, "I've been offered an exhibition of my paintings at the Walker Art Gallery ... where John and I used to spend many a pleasant afternoon. So I'm really excited about it. I didn't tell anybody I painted for 15 years but now I'm out of the closet". McCartney is lead patron of the Liverpool Institute for Performing Arts, a school in the building formerly occupied by the Liverpool Institute for Boys.	lead
616014	McCartney said, "I've been offered an exhibition of my paintings at the Walker Art Gallery ... where John and I used to spend many a pleasant afternoon. So I'm really excited about it. I didn't tell anybody I painted for 15 years but now I'm out of the closet". McCartney is lead patron of the Liverpool Institute for Performing Arts, a school in the building formerly occupied by the Liverpool Institute for Boys.	n't
616014	McCartney said, "I've been offered an exhibition of my paintings at the Walker Art Gallery ... where John and I used to spend many a pleasant afternoon. So I'm really excited about it. I didn't tell anybody I painted for 15 years but now I'm out of the closet". McCartney is lead patron of the Liverpool Institute for Performing Arts, a school in the building formerly occupied by the Liverpool Institute for Boys.	really
126002	He particularly liked the manner in which she picked up a glass: "I thought she was very talented in that action."	very
126002	He particularly liked the manner in which she picked up a glass: "I thought she was very talented in that action."	particularly
514005	In a September 1976 interview with Playboy, Bowie said: "It's true-I am a bisexual. But I can't deny that I've used that fact very well. I suppose it's the best thing that ever happened to me."	very well 
514005	In a September 1976 interview with Playboy, Bowie said: "It's true-I am a bisexual. But I can't deny that I've used that fact very well. I suppose it's the best thing that ever happened to me."	n't
514005	In a September 1976 interview with Playboy, Bowie said: "It's true-I am a bisexual. But I can't deny that I've used that fact very well. I suppose it's the best thing that ever happened to me."	ca
529001	She could not attend the ceremony because she had just given birth to her son, Joseph Luft, so a television crew was in her hospital room with cameras and wires to televise her anticipated acceptance speech.	not
529001	She could not attend the ceremony because she had just given birth to her son, Joseph Luft, so a television crew was in her hospital room with cameras and wires to televise her anticipated acceptance speech.	could
366586-0004	Our server was quite attentive and the food was fantastic.	quite
071650-0009	I was able to cancel it but only after paying a $50 fee (which the staff person who signed me up stated I would not have to pay if I had proof of moving) and being spoken to in a very belittling manner.	haveto
071650-0009	I was able to cancel it but only after paying a $50 fee (which the staff person who signed me up stated I would not have to pay if I had proof of moving) and being spoken to in a very belittling manner.	belittling very 
071650-0009	I was able to cancel it but only after paying a $50 fee (which the staff person who signed me up stated I would not have to pay if I had proof of moving) and being spoken to in a very belittling manner.	able
071650-0009	I was able to cancel it but only after paying a $50 fee (which the staff person who signed me up stated I would not have to pay if I had proof of moving) and being spoken to in a very belittling manner.	would
071650-0009	I was able to cancel it but only after paying a $50 fee (which the staff person who signed me up stated I would not have to pay if I had proof of moving) and being spoken to in a very belittling manner.	not
127002	Regina Crewe wrote in the Journal American that although her mannerisms were grating, "they compel attention, and they fascinate an audience. She is a distinct, definite, positive personality."	grating
696004	This account is supported by Kooper and one of the directors of the festival, who reports his audio recording of the concert proves that the only boos were in reaction to the emcee's announcement that there was only enough time for a short set.	only
696004	This account is supported by Kooper and one of the directors of the festival, who reports his audio recording of the concert proves that the only boos were in reaction to the emcee's announcement that there was only enough time for a short set.	one
696004	This account is supported by Kooper and one of the directors of the festival, who reports his audio recording of the concert proves that the only boos were in reaction to the emcee's announcement that there was only enough time for a short set.	enough only time 
377347-0011	By the way, Salmagundi (the store name) means something like smorgasbord; potpourri; motley; variety; mixed bag; miscellaneous assortment; mixture, a variety of many kinds of things.	like something 
071650-0007	Back to my poor rating - I was excepted to medical school and went in to cancel my membership as I was told I could do since I was moving away.	poor
071650-0007	Back to my poor rating - I was excepted to medical school and went in to cancel my membership as I was told I could do since I was moving away.	away
071650-0007	Back to my poor rating - I was excepted to medical school and went in to cancel my membership as I was told I could do since I was moving away.	Back
071650-0007	Back to my poor rating - I was excepted to medical school and went in to cancel my membership as I was told I could do since I was moving away.	could
730005	Sarajevo's regional government named Jolie an honorary citizen of the capital for raising awareness of the war.	honorary
730005	Sarajevo's regional government named Jolie an honorary citizen of the capital for raising awareness of the war.	raising
147014	Hughes wished to marry her, and the tabloids reported their impending nuptials, but at that time Hepburn was too focused on resurrecting her failing career.	too
147014	Hughes wished to marry her, and the tabloids reported their impending nuptials, but at that time Hepburn was too focused on resurrecting her failing career.	failing
459012	On January 5, Jennings moderated the Democratic primary debate, held at the University of New Hampshire.	primary
030126-0006	The education is horrible at best, do society a favor, and do NOT send your student here.	at horrible 
030126-0006	The education is horrible at best, do society a favor, and do NOT send your student here.	NOT
351058-0006	in my opinon this place should be shut down by the health inspector, and anyone who is satisfied with there service and food has never eaten at a real asian restaurant.	should
127008	Little Women was one of Hepburn's personal favorites and she was proud of her performance, later saying, "I defy anyone to be as good as I was [as Jo]".	one
127008	Little Women was one of Hepburn's personal favorites and she was proud of her performance, later saying, "I defy anyone to be as good as I was [as Jo]".	personal
235009	but refrained from criticising the Chinese government for banning his 2009 film Shinjuku Incident.	refrained
107692-0007	I have gotten better results talking to COMCAST customer service than with these folks.	better
727001	The film was a major critical failure, with The New York Times noting, "The story plunges more precipitously than Ms. Jolie's neckline."	precipitously
727001	The film was a major critical failure, with The New York Times noting, "The story plunges more precipitously than Ms. Jolie's neckline."	major
727001	The film was a major critical failure, with The New York Times noting, "The story plunges more precipitously than Ms. Jolie's neckline."	more precipitously 
28009	Pitt made two motion picture appearances in 1989: the first in a supporting role in the comedy Happy Together; the second a featured role in the horror film Cutting Class, the first of Pitt's films to reach theaters.	two
010378-0006	I think he could've done more to assuage my concerns by giving me concrete facts.	more
010378-0006	I think he could've done more to assuage my concerns by giving me concrete facts.	concrete
010378-0006	I think he could've done more to assuage my concerns by giving me concrete facts.	could
217359-0003	if you don't mind being robbed ,cheated or lied to then this is the company for you .	n't
